qCODE_SESSION|DESCRIPTION|DESCRIPTION_ACT|DESCRIPTION_NAT|NOM_COUR|LIEU_1|LIEU_2|ARRONDISSEMENT|ADRESSE|DATE_DEB|DATE_FIN|JOUR_SEMAINE|HEURE_DEBUT|HEURE_FIN
H2015|Relache scolaire|Relache scolaire|Relache|Loisirs Duberger-Les Saules inc.|Centre communautaire Les Saules|Centre communautaire Les Saules \ p. salle 152|Arrondissement des Rivieres|4120, rue De Musset, Quebec (QC) G1P 1P1 |2015-03-02|2015-03-06|Mardi|07:00:00|18:00:00
E2015|Bain anime - PVE|Bain anime - PVE|Activites aquatiques|DCLVC des Rivieres|Complexe Jean-Paul-Nolin|Complexe Jean-Paul-Nolin \ piscine interieure|Arrondissement des Rivieres|340, rue Chabot, Quebec (QC) G1M 3J5 |2015-06-29|2015-08-14|Mercredi|14:00:00|15:30:00
E2015|Bain libre - Pour tous|Bain libre - Pour tous|Activites aquatiques|DCLVC des Rivieres|Complexe Jean-Paul-Nolin|Complexe Jean-Paul-Nolin \ piscine interieure|Arrondissement des Rivieres|340, rue Chabot, Quebec (QC) G1M 3J5 |2015-06-29|2015-08-14|Lundi|19:00:00|20:25:00
E2015|Bain libre - Pour tous|Bain libre - Pour tous|Activites aquatiques|DCLVC des Rivieres|Complexe Jean-Paul-Nolin|Complexe Jean-Paul-Nolin \ piscine interieure|Arrondissement des Rivieres|340, rue Chabot, Quebec (QC) G1M 3J5 |2015-06-29|2015-08-14|Dimanche|19:00:00|20:25:00
P2015|Club de marche|Club de marche|Activites physiques|Loisirs de Saint-Rodrigue inc.|Centre recreatif St-Rodrigue|Centre recreatif St-Rodrigue (inactif)|Arrondissement de Charlesbourg|4840, avenue des Loisirs, Quebec (QC) G1H 3G5 |2015-04-13|2015-08-28|Mardi|09:00:00|10:00:00
P2015|Parcours de sauts a velo|Parcours de sauts a velo|Sports et de plein air|Loisirs Maria-Goretti inc. (Les)|Parc Maria-Goretti|Parc Maria-Goretti|Arrondissement de Charlesbourg|7475, avenue Paul-Comtois, Quebec (QC) G1H 5X6 |2015-05-01|2015-10-01|Dimanche|18:00:00|22:00:00
P2015|Parcours de sauts a velo|Parcours de sauts a velo|Sports et de plein air|Loisirs Maria-Goretti inc. (Les)|Parc Maria-Goretti|Parc Maria-Goretti|Arrondissement de Charlesbourg|7475, avenue Paul-Comtois, Quebec (QC) G1H 5X6 |2015-05-01|2015-10-01|Vendredi|18:00:00|22:00:00
P2015|Petanque|Petanque|Loisirs recreatifs|Loisirs Maria-Goretti inc. (Les)|Parc Maria-Goretti|Parc Maria-Goretti|Arrondissement de Charlesbourg|7475, avenue Paul-Comtois, Quebec (QC) G1H 5X6 |2015-06-04|2015-09-10|Jeudi|19:00:00|22:00:00
P2015|Vollleyball de plage - pratique libre|Volleyball de plage - pratique libre|Sports et de plein air|Loisirs Maria-Goretti inc. (Les)|Parc Maria-Goretti|Parc Maria-Goretti|Arrondissement de Charlesbourg|7475, avenue Paul-Comtois, Quebec (QC) G1H 5X6 |2015-06-01|2015-10-04|Dimanche|10:00:00|22:00:00
P2015|Club de marche|Club de marche|Sports et de plein air|Patro de Charlesbourg inc.|Patro de Charlesbourg|Patro de Charlesbourg|Arrondissement de Charlesbourg|7700, 3e Avenue Est, Quebec (QC) G1H 7J2 |2015-04-03|2015-06-19|Mercredi|10:00:00|11:30:00
